Flight Information:     	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Launch Date:            	                       	Monday, August 21, 2017	   	                        	Launch Time:    	           	11:46:04 AM 	     	End of Ascent:	     	           	1:16:46 AM	        
Station name:           	                       	                       	   	                        	Number of sonde:	           	00627807    	     	              	     	           	          	        
Ground values:          	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Pressure:               	                       	861.3 hPa              	   	                        	Temperature:    	           	15.2 °C     	     	Humidity:     	     	           	94 %      	        
Wind Direction:         	                       	25 °                   	   	                        	Wind Speed:     	           	1 m/s       	     	Cloud group:  	     	           	9////     	        
Position:               	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Longitude:              	                       	-104.454 °             	   	                        	Latitude:       	           	42.277 °    	     	Altitude:     	     	           	1389 m    	        
Staff:                  	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Company:                	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Operator:               	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Events:                 	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Highest Point:          	                       	26.4 hPa               	   	                        	25106 m         	           	            	     	              	     	           	          	        
Tropopauses:            	                       	1.: 200.1 hPa          	   	                        	2.: 114.2 hPa   	           	            	     	              	     	           	          	        
Max Winds:              	                       	1.: 154.8 hPa          	   	                        	                	           	            	     	              	     	           	          	        
Remarks:                	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
                        	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Profile Data:           	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Time                    	P                      	T                      	Hu 	Ws                      	Wd              	Long.      	Lat.        	Alt  	Geopot        	Dewp.	Virt. Temp 	Rs        	D       
[sec]                   	[hPa]                  	[°C]                   	[%]	[m/s]                   	[°]             	[°]        	[°]         	[m]  	[m]           	[°C] 	[°C]       	[m/s]     	[kg/m3] 
3434                    	74.4                   	-58.8                  	15 	3.4                     	246             	-103.798323	42.351437   	18517	18457         	-72.1	-58.8      	5.5       	0.120930
3435                    	74.3                   	-58.8                  	15 	3.4                     	246             	-103.798289	42.351448   	18522	18463         	-72.2	-58.8      	5.5       	0.120851
3436                    	74.3                   	-58.9                  	15 	3.4                     	246             	-103.798254	42.351460   	18528	18468         	-72.2	-58.9      	5.5       	0.120771
3437                    	74.2                   	-58.9                  	15 	3.4                     	246             	-103.798220	42.351471   	18533	18474         	-72.2	-58.9      	5.5       	0.120691
3438                    	74.1                   	-59.0                  	15 	3.3                     	246             	-103.798185	42.351483   	18539	18479         	-72.3	-59.0      	5.5       	0.120611
3439                    	74.1                   	-59.0                  	15 	3.3                     	246             	-103.798150	42.351494   	18544	18485         	-72.3	-59.0      	5.5       	0.120531
3440                    	74.0                   	-59.1                  	15 	3.3                     	247             	-103.798116	42.351506   	18550	18490         	-72.3	-59.1      	5.5       	0.120451
3441                    	73.9                   	-59.1                  	15 	3.3                     	247             	-103.798081	42.351517   	18555	18496         	-72.4	-59.1      	5.5       	0.120371
3442                    	73.9                   	-59.1                  	15 	3.2                     	247             	-103.798047	42.351528   	18560	18501         	-72.4	-59.1      	5.5       	0.120291
3443                    	73.8                   	-59.2                  	15 	3.2                     	247             	-103.798012	42.351540   	18566	18506         	-72.4	-59.2      	5.5       	0.120212
3444                    	73.8                   	-59.2                  	15 	3.2                     	247             	-103.797978	42.351551   	18571	18512         	-72.5	-59.2      	5.5       	0.120132
3445                    	73.7                   	-59.3                  	15 	3.1                     	247             	-103.797943	42.351563   	18577	18517         	-72.5	-59.3      	5.5       	0.120046
3446                    	73.6                   	-59.3                  	15 	3.1                     	247             	-103.797907	42.351576   	18582	18523         	-72.6	-59.3      	5.6       	0.119961
3447                    	73.6                   	-59.4                  	15 	3.1                     	248             	-103.797864	42.351594   	18588	18529         	-72.6	-59.4      	5.9       	0.119876
3448                    	73.5                   	-59.4                  	15 	3.1                     	248             	-103.797822	42.351612   	18594	18534         	-72.6	-59.4      	5.9       	0.119790
3449                    	73.4                   	-59.4                  	15 	3.0                     	248             	-103.797779	42.351631   	18600	18540         	-72.7	-59.4      	5.9       	0.119705
3450                    	73.4                   	-59.5                  	15 	3.0                     	248             	-103.797737	42.351649   	18606	18546         	-72.7	-59.5      	5.9       	0.119619
3451                    	73.3                   	-59.5                  	15 	3.1                     	248             	-103.797694	42.351667   	18612	18552         	-72.7	-59.5      	5.9       	0.119532
3452                    	73.2                   	-59.6                  	15 	3.1                     	247             	-103.797652	42.351686   	18618	18558         	-72.8	-59.6      	5.9       	0.119444
3453                    	73.1                   	-59.6                  	15 	3.2                     	247             	-103.797610	42.351704   	18624	18564         	-72.8	-59.6      	5.9       	0.119356
3454                    	73.1                   	-59.7                  	15 	3.2                     	247             	-103.797567	42.351722   	18630	18570         	-72.9	-59.7      	5.9       	0.119268
3455                    	73.0                   	-59.7                  	15 	3.3                     	247             	-103.797525	42.351740   	18635	18575         	-72.9	-59.7      	5.9       	0.119181
3456                    	72.9                   	-59.7                  	15 	3.3                     	247             	-103.797482	42.351759   	18641	18581         	-72.9	-59.7      	5.9       	0.119093
3457                    	72.9                   	-59.8                  	15 	3.4                     	246             	-103.797440	42.351777   	18647	18587         	-73.0	-59.8      	5.9       	0.119006
3458                    	72.8                   	-59.8                  	15 	3.4                     	246             	-103.797397	42.351795   	18653	18593         	-73.0	-59.8      	5.9       	0.118918
3459                    	72.7                   	-59.9                  	15 	3.4                     	246             	-103.797355	42.351814   	18659	18599         	-73.1	-59.9      	5.9       	0.118831
3460                    	72.7                   	-59.9                  	15 	3.5                     	246             	-103.797312	42.351832   	18665	18605         	-73.1	-59.9      	5.9       	0.118743
3461                    	72.6                   	-60.0                  	15 	3.5                     	246             	-103.797270	42.351850   	18671	18611         	-73.2	-60.0      	5.9       	0.118656
3462                    	72.5                   	-60.0                  	15 	3.6                     	245             	-103.797228	42.351868   	18677	18616         	-73.2	-60.0      	5.9       	0.118569
3463                    	72.5                   	-60.0                  	15 	3.6                     	245             	-103.797185	42.351887   	18683	18622         	-73.3	-60.0      	5.9       	0.118482
3464                    	72.4                   	-60.1                  	15 	3.7                     	245             	-103.797143	42.351905   	18688	18628         	-73.3	-60.1      	5.9       	0.118394
3465                    	72.3                   	-60.1                  	15 	3.7                     	245             	-103.797100	42.351923   	18694	18634         	-73.4	-60.1      	5.9       	0.118307
3466                    	72.3                   	-60.2                  	15 	3.8                     	245             	-103.797058	42.351941   	18700	18640         	-73.4	-60.2      	5.9       	0.118220
3467                    	72.2                   	-60.2                  	15 	3.8                     	244             	-103.797015	42.351960   	18706	18646         	-73.4	-60.2      	5.9       	0.118133
3468                    	72.1                   	-60.3                  	15 	3.9                     	244             	-103.796973	42.351978   	18712	18652         	-73.5	-60.3      	5.9       	0.118046
3469                    	72.1                   	-60.3                  	15 	3.9                     	244             	-103.796931	42.351996   	18718	18657         	-73.5	-60.3      	5.9       	0.117959
3470                    	72.0                   	-60.3                  	15 	4.0                     	244             	-103.796888	42.352015   	18724	18663         	-73.6	-60.3      	5.9       	0.117872
3471                    	71.9                   	-60.4                  	15 	4.1                     	242             	-103.796846	42.352033   	18730	18669         	-73.6	-60.4      	5.9       	0.117785
3472                    	71.9                   	-60.4                  	15 	4.1                     	241             	-103.796803	42.352051   	18736	18675         	-73.7	-60.4      	5.9       	0.117698
3473                    	71.8                   	-60.5                  	15 	4.3                     	240             	-103.796761	42.352069   	18741	18681         	-73.7	-60.5      	5.9       	0.117612
3474                    	71.7                   	-60.5                  	15 	4.4                     	238             	-103.796718	42.352088   	18747	18687         	-73.8	-60.5      	5.9       	0.117525
3475                    	71.6                   	-60.6                  	15 	4.5                     	237             	-103.796676	42.352106   	18753	18693         	-73.8	-60.6      	5.9       	0.117433
3476                    	71.6                   	-60.6                  	15 	4.5                     	236             	-103.796634	42.352124   	18759	18698         	-73.9	-60.6      	5.9       	0.117338
3477                    	71.5                   	-60.6                  	15 	4.6                     	235             	-103.796576	42.352164   	18765	18705         	-73.9	-60.6      	6.1       	0.117242
3478                    	71.4                   	-60.7                  	15 	4.7                     	233             	-103.796513	42.352211   	18771	18711         	-73.9	-60.7      	6.2       	0.117146
3479                    	71.4                   	-60.7                  	14 	4.8                     	232             	-103.796451	42.352258   	18778	18717         	-74.0	-60.7      	6.2       	0.117050
3480                    	71.3                   	-60.7                  	14 	4.9                     	231             	-103.796388	42.352305   	18784	18723         	-74.0	-60.7      	6.2       	0.116955
3481                    	71.2                   	-60.8                  	14 	5.0                     	230             	-103.796325	42.352352   	18790	18729         	-74.1	-60.8      	6.2       	0.116857
3482                    	71.2                   	-60.8                  	14 	5.1                     	229             	-103.796262	42.352399   	18796	18735         	-74.1	-60.8      	6.2       	0.116759
3483                    	71.1                   	-60.8                  	14 	5.2                     	228             	-103.796200	42.352446   	18803	18742         	-74.1	-60.8      	6.2       	0.116661
3484                    	71.0                   	-60.9                  	14 	5.3                     	227             	-103.796137	42.352493   	18809	18748         	-74.2	-60.9      	6.2       	0.116564
3485                    	70.9                   	-60.9                  	14 	5.4                     	227             	-103.796074	42.352540   	18815	18754         	-74.2	-60.9      	6.2       	0.116466
3486                    	70.9                   	-60.9                  	14 	5.4                     	226             	-103.796011	42.352587   	18821	18760         	-74.3	-60.9      	6.2       	0.116369
3487                    	70.8                   	-61.0                  	14 	5.5                     	225             	-103.795948	42.352634   	18827	18766         	-74.3	-61.0      	6.2       	0.116271
3488                    	70.7                   	-61.0                  	14 	5.7                     	224             	-103.795886	42.352681   	18834	18772         	-74.4	-61.0      	6.2       	0.116174
3489                    	70.7                   	-61.0                  	14 	5.8                     	223             	-103.795823	42.352728   	18840	18779         	-74.4	-61.0      	6.2       	0.116073
3490                    	70.6                   	-61.0                  	14 	5.9                     	223             	-103.795760	42.352775   	18846	18785         	-74.4	-61.0      	6.2       	0.115972
3491                    	70.5                   	-61.1                  	14 	6.0                     	223             	-103.795697	42.352822   	18852	18791         	-74.5	-61.1      	6.2       	0.115871
3492                    	70.5                   	-61.1                  	14 	6.1                     	223             	-103.795635	42.352869   	18858	18797         	-74.5	-61.1      	6.2       	0.115769
3493                    	70.4                   	-61.1                  	14 	6.3                     	223             	-103.795572	42.352916   	18865	18803         	-74.5	-61.1      	6.2       	0.115668
3494                    	70.3                   	-61.1                  	14 	6.4                     	224             	-103.795509	42.352963   	18871	18809         	-74.6	-61.1      	6.2       	0.115567
3495                    	70.2                   	-61.2                  	14 	6.6                     	224             	-103.795446	42.353010   	18877	18816         	-74.6	-61.2      	6.2       	0.115466
3496                    	70.2                   	-61.2                  	14 	6.7                     	224             	-103.795384	42.353057   	18883	18822         	-74.6	-61.2      	6.2       	0.115365
3497                    	70.1                   	-61.2                  	14 	6.8                     	224             	-103.795321	42.353104   	18889	18828         	-74.6	-61.2      	6.2       	0.115264
3498                    	70.0                   	-61.2                  	14 	7.0                     	225             	-103.795258	42.353151   	18896	18834         	-74.7	-61.2      	6.2       	0.115164
3499                    	70.0                   	-61.3                  	14 	7.1                     	225             	-103.795195	42.353198   	18902	18840         	-74.7	-61.3      	6.2       	0.115063
3500                    	69.9                   	-61.3                  	14 	7.3                     	225             	-103.795132	42.353245   	18908	18846         	-74.7	-61.3      	6.2       	0.114962
3501                    	69.8                   	-61.3                  	14 	7.4                     	225             	-103.795070	42.353292   	18914	18853         	-74.7	-61.3      	6.2       	0.114862
3502                    	69.8                   	-61.3                  	14 	7.5                     	225             	-103.795007	42.353339   	18921	18859         	-74.8	-61.3      	6.2       	0.114758
3503                    	69.7                   	-61.3                  	14 	7.7                     	226             	-103.794944	42.353386   	18927	18865         	-74.8	-61.3      	6.2       	0.114648
3504                    	69.6                   	-61.4                  	14 	7.8                     	226             	-103.794881	42.353433   	18933	18871         	-74.8	-61.4      	6.2       	0.114538
3505                    	69.6                   	-61.4                  	14 	8.0                     	226             	-103.794819	42.353480   	18939	18877         	-74.8	-61.4      	6.2       	0.114437
3506                    	69.5                   	-61.4                  	14 	8.1                     	226             	-103.794756	42.353527   	18945	18884         	-74.8	-61.4      	6.2       	0.114335
3507                    	69.4                   	-61.4                  	14 	8.2                     	226             	-103.794685	42.353576   	18951	18889         	-74.8	-61.4      	6.0       	0.114234
3508                    	69.4                   	-61.4                  	14 	8.4                     	226             	-103.794588	42.353635   	18957	18895         	-74.8	-61.4      	5.4       	0.114133
3509                    	69.3                   	-61.4                  	14 	8.5                     	226             	-103.794491	42.353694   	18962	18900         	-74.9	-61.4      	5.4       	0.114031
3510                    	69.2                   	-61.4                  	14 	8.7                     	227             	-103.794394	42.353752   	18968	18906         	-74.9	-61.4      	5.4       	0.113930
3511                    	69.2                   	-61.4                  	14 	8.7                     	227             	-103.794297	42.353811   	18973	18911         	-74.9	-61.4      	5.4       	0.113836
3512                    	69.1                   	-61.4                  	14 	8.8                     	227             	-103.794200	42.353870   	18978	18916         	-75.0	-61.4      	5.4       	0.113742
3513                    	69.1                   	-61.4                  	14 	8.9                     	227             	-103.794103	42.353928   	18984	18922         	-75.0	-61.4      	5.4       	0.113648
3514                    	69.0                   	-61.4                  	14 	9.0                     	228             	-103.794006	42.353987   	18989	18927         	-75.0	-61.4      	5.4       	0.113554
3515                    	68.9                   	-61.4                  	14 	9.1                     	228             	-103.793909	42.354045   	18995	18932         	-75.0	-61.4      	5.4       	0.113460
3516                    	68.9                   	-61.4                  	14 	9.2                     	228             	-103.793812	42.354104   	19000	18938         	-75.1	-61.4      	5.4       	0.113361
3517                    	68.8                   	-61.4                  	14 	9.3                     	228             	-103.793716	42.354163   	19005	18943         	-75.1	-61.4      	5.4       	0.113262
3518                    	68.8                   	-61.4                  	13 	9.4                     	229             	-103.793619	42.354221   	19011	18948         	-75.1	-61.4      	5.4       	0.113162
3519                    	68.7                   	-61.4                  	13 	9.5                     	229             	-103.793522	42.354280   	19016	18954         	-75.1	-61.4      	5.4       	0.113063
3520                    	68.6                   	-61.4                  	13 	9.6                     	229             	-103.793425	42.354338   	19022	18959         	-75.1	-61.4      	5.4       	0.112964
3521                    	68.6                   	-61.4                  	13 	9.7                     	229             	-103.793328	42.354397   	19027	18965         	-75.1	-61.4      	5.4       	0.112865
3522                    	68.5                   	-61.4                  	13 	9.8                     	230             	-103.793231	42.354456   	19032	18970         	-75.2	-61.4      	5.4       	0.112766
3523                    	68.5                   	-61.4                  	13 	9.9                     	230             	-103.793134	42.354514   	19038	18975         	-75.2	-61.4      	5.4       	0.112667
3524                    	68.4                   	-61.4                  	13 	10.0                    	230             	-103.793037	42.354573   	19043	18981         	-75.2	-61.4      	5.4       	0.112568
3525                    	68.3                   	-61.4                  	13 	10.1                    	230             	-103.792940	42.354631   	19049	18986         	-75.2	-61.4      	5.4       	0.112470
3526                    	68.3                   	-61.4                  	13 	10.2                    	230             	-103.792843	42.354690   	19054	18991         	-75.2	-61.4      	5.4       	0.112371
3527                    	68.2                   	-61.4                  	13 	10.2                    	231             	-103.792746	42.354749   	19059	18997         	-75.2	-61.4      	5.4       	0.112272
3528                    	68.2                   	-61.4                  	13 	10.3                    	231             	-103.792649	42.354807   	19065	19002         	-75.2	-61.4      	5.4       	0.112174
3529                    	68.1                   	-61.4                  	13 	10.4                    	231             	-103.792552	42.354866   	19070	19007         	-75.2	-61.4      	5.4       	0.112075
3530                    	68.0                   	-61.4                  	13 	10.5                    	231             	-103.792455	42.354925   	19076	19013         	-75.3	-61.4      	5.4       	0.111977
3531                    	68.0                   	-61.4                  	13 	10.5                    	231             	-103.792358	42.354983   	19081	19018         	-75.3	-61.4      	5.4       	0.111879
3532                    	67.9                   	-61.4                  	13 	10.5                    	231             	-103.792261	42.355042   	19086	19024         	-75.3	-61.4      	5.4       	0.111780
3533                    	67.9                   	-61.4                  	13 	10.5                    	231             	-103.792164	42.355100   	19092	19029         	-75.3	-61.4      	5.4       	0.111682
3534                    	67.8                   	-61.4                  	13 	10.4                    	231             	-103.792067	42.355159   	19097	19034         	-75.3	-61.4      	5.4       	0.111584
3535                    	67.8                   	-61.4                  	13 	10.4                    	231             	-103.791970	42.355218   	19103	19040         	-75.3	-61.4      	5.4       	0.111487
3536                    	67.7                   	-61.4                  	13 	10.4                    	231             	-103.791873	42.355276   	19108	19045         	-75.3	-61.4      	5.4       	0.111389
3537                    	67.6                   	-61.4                  	13 	10.4                    	231             	-103.791772	42.355327   	19113	19050         	-75.3	-61.4      	5.4       	0.111292
3538                    	67.6                   	-61.4                  	13 	10.3                    	231             	-103.791670	42.355375   	19119	19056         	-75.3	-61.4      	5.4       	0.111194
3539                    	67.5                   	-61.4                  	13 	10.3                    	231             	-103.791567	42.355423   	19124	19061         	-75.3	-61.4      	5.4       	0.111097
3540                    	67.5                   	-61.4                  	13 	10.3                    	231             	-103.791465	42.355471   	19129	19066         	-75.3	-61.4      	5.4       	0.111000
3541                    	67.4                   	-61.4                  	13 	10.3                    	231             	-103.791363	42.355518   	19135	19072         	-75.3	-61.4      	5.4       	0.110903
3542                    	67.3                   	-61.4                  	13 	10.3                    	231             	-103.791260	42.355566   	19140	19077         	-75.3	-61.4      	5.4       	0.110807
3543                    	67.3                   	-61.4                  	13 	10.2                    	231             	-103.791158	42.355614   	19145	19082         	-75.3	-61.4      	5.4       	0.110705
3544                    	67.2                   	-61.4                  	13 	10.2                    	231             	-103.791056	42.355662   	19151	19088         	-75.2	-61.4      	5.4       	0.110603
3545                    	67.2                   	-61.3                  	13 	10.2                    	231             	-103.790954	42.355710   	19156	19093         	-75.2	-61.3      	5.4       	0.110501
3546                    	67.1                   	-61.3                  	13 	10.2                    	231             	-103.790851	42.355758   	19162	19098         	-75.2	-61.3      	5.4       	0.110399
3547                    	67.1                   	-61.3                  	13 	10.1                    	231             	-103.790749	42.355806   	19167	19104         	-75.2	-61.3      	5.4       	0.110297
3548                    	67.0                   	-61.3                  	13 	10.1                    	231             	-103.790647	42.355853   	19172	19109         	-75.2	-61.3      	5.4       	0.110195
3549                    	66.9                   	-61.3                  	13 	10.1                    	231             	-103.790544	42.355901   	19178	19114         	-75.2	-61.3      	5.4       	0.110094
3550                    	66.9                   	-61.3                  	13 	10.1                    	231             	-103.790442	42.355949   	19183	19120         	-75.2	-61.3      	5.4       	0.109992
3551                    	66.8                   	-61.3                  	13 	10.1                    	231             	-103.790340	42.355997   	19188	19125         	-75.2	-61.3      	5.4       	0.109891
3552                    	66.8                   	-61.2                  	13 	10.1                    	232             	-103.790237	42.356045   	19194	19130         	-75.2	-61.2      	5.4       	0.109790
3553                    	66.7                   	-61.2                  	13 	10.1                    	232             	-103.790135	42.356093   	19199	19136         	-75.2	-61.2      	5.4       	0.109689
3554                    	66.7                   	-61.2                  	13 	10.1                    	233             	-103.790033	42.356141   	19204	19141         	-75.3	-61.2      	5.4       	0.109587
3555                    	66.6                   	-61.2                  	13 	10.1                    	234             	-103.789930	42.356189   	19210	19146         	-75.3	-61.2      	5.4       	0.109486
3556                    	66.5                   	-61.2                  	13 	10.1                    	234             	-103.789828	42.356236   	19215	19152         	-75.3	-61.2      	5.4       	0.109385
3557                    	66.5                   	-61.2                  	13 	10.1                    	235             	-103.789726	42.356284   	19221	19157         	-75.3	-61.2      	5.4       	0.109284
3558                    	66.4                   	-61.2                  	13 	10.1                    	235             	-103.789623	42.356332   	19226	19162         	-75.3	-61.2      	5.4       	0.109183
3559                    	66.4                   	-61.2                  	13 	10.1                    	236             	-103.789521	42.356380   	19231	19168         	-75.3	-61.2      	5.4       	0.109083
3560                    	66.3                   	-61.1                  	13 	10.2                    	236             	-103.789419	42.356428   	19237	19173         	-75.3	-61.1      	5.4       	0.108982
3561                    	66.3                   	-61.1                  	13 	10.2                    	237             	-103.789316	42.356476   	19242	19178         	-75.3	-61.1      	5.4       	0.108881
3562                    	66.2                   	-61.1                  	13 	10.2                    	238             	-103.789214	42.356524   	19247	19184         	-75.2	-61.1      	5.4       	0.108780
3563                    	66.1                   	-61.1                  	13 	10.2                    	238             	-103.789112	42.356571   	19253	19189         	-75.2	-61.1      	5.4       	0.108680
3564                    	66.1                   	-61.1                  	13 	10.2                    	239             	-103.789010	42.356619   	19258	19194         	-75.2	-61.1      	5.4       	0.108579
3565                    	66.0                   	-61.1                  	13 	10.2                    	239             	-103.788907	42.356667   	19263	19200         	-75.2	-61.1      	5.4       	0.108479
3566                    	66.0                   	-61.1                  	13 	10.3                    	240             	-103.788805	42.356715   	19269	19205         	-75.2	-61.1      	5.4       	0.108380
3567                    	65.9                   	-61.0                  	13 	10.3                    	240             	-103.788703	42.356763   	19274	19210         	-75.2	-61.0      	5.4       	0.108280
3568                    	65.9                   	-61.0                  	13 	10.3                    	241             	-103.788601	42.356809   	19280	19216         	-75.2	-61.0      	5.3       	0.108180
3569                    	65.8                   	-61.0                  	13 	10.3                    	242             	-103.788508	42.356835   	19285	19221         	-75.1	-61.0      	5.3       	0.108080
3570                    	65.7                   	-61.0                  	13 	10.3                    	242             	-103.788416	42.356861   	19290	19226         	-75.1	-61.0      	5.3       	0.107971
3571                    	65.7                   	-60.9                  	13 	10.3                    	242             	-103.788323	42.356887   	19295	19231         	-75.1	-60.9      	5.3       	0.107860
3572                    	65.6                   	-60.9                  	13 	10.2                    	243             	-103.788230	42.356913   	19301	19237         	-75.0	-60.9      	5.3       	0.107749
3573                    	65.6                   	-60.9                  	13 	10.1                    	243             	-103.788137	42.356939   	19306	19242         	-75.0	-60.9      	5.3       	0.107638
3574                    	65.5                   	-60.8                  	13 	10.0                    	243             	-103.788044	42.356966   	19311	19247         	-75.0	-60.8      	5.3       	0.107528
3575                    	65.5                   	-60.8                  	13 	9.9                     	243             	-103.787951	42.356992   	19317	19253         	-75.0	-60.8      	5.3       	0.107417
3576                    	65.4                   	-60.8                  	13 	9.8                     	244             	-103.787859	42.357018   	19322	19258         	-74.9	-60.8      	5.3       	0.107307
3577                    	65.4                   	-60.7                  	13 	9.7                     	244             	-103.787766	42.357044   	19327	19263         	-74.9	-60.7      	5.3       	0.107197
3578                    	65.3                   	-60.7                  	13 	9.6                     	244             	-103.787673	42.357070   	19333	19268         	-74.9	-60.7      	5.3       	0.107087
3579                    	65.2                   	-60.6                  	12 	9.6                     	245             	-103.787580	42.357096   	19338	19274         	-74.9	-60.6      	5.3       	0.106977
3580                    	65.2                   	-60.6                  	12 	9.5                     	245             	-103.787487	42.357122   	19343	19279         	-74.9	-60.6      	5.3       	0.106867
3581                    	65.1                   	-60.6                  	12 	9.4                     	245             	-103.787395	42.357149   	19349	19284         	-74.8	-60.6      	5.3       	0.106757
3582                    	65.1                   	-60.5                  	12 	9.3                     	246             	-103.787302	42.357175   	19354	19290         	-74.8	-60.5      	5.3       	0.106648
3583                    	65.0                   	-60.5                  	12 	9.2                     	246             	-103.787209	42.357201   	19359	19295         	-74.8	-60.5      	5.3       	0.106533
3584                    	65.0                   	-60.4                  	12 	9.1                     	246             	-103.787116	42.357227   	19365	19300         	-74.8	-60.4      	5.3       	0.106417
3585                    	64.9                   	-60.4                  	12 	9.1                     	247             	-103.787023	42.357253   	19370	19305         	-74.7	-60.4      	5.3       	0.106300
3586                    	64.9                   	-60.3                  	12 	9.0                     	247             	-103.786930	42.357279   	19375	19311         	-74.7	-60.3      	5.3       	0.106184
3587                    	64.8                   	-60.3                  	12 	8.9                     	247             	-103.786838	42.357306   	19381	19316         	-74.7	-60.3      	5.3       	0.106068
3588                    	64.7                   	-60.2                  	12 	8.8                     	248             	-103.786745	42.357332   	19386	19321         	-74.6	-60.2      	5.3       	0.105952
3589                    	64.7                   	-60.2                  	12 	8.7                     	248             	-103.786652	42.357358   	19391	19327         	-74.6	-60.2      	5.3       	0.105836
3590                    	64.6                   	-60.1                  	12 	8.6                     	248             	-103.786559	42.357384   	19396	19332         	-74.6	-60.1      	5.3       	0.105720
3591                    	64.6                   	-60.1                  	12 	8.5                     	249             	-103.786466	42.357410   	19402	19337         	-74.5	-60.1      	5.3       	0.105604
3592                    	64.5                   	-60.0                  	12 	8.4                     	249             	-103.786373	42.357436   	19407	19342         	-74.5	-60.0      	5.3       	0.105489
3593                    	64.5                   	-60.0                  	12 	8.3                     	249             	-103.786281	42.357463   	19412	19348         	-74.5	-60.0      	5.3       	0.105374
3594                    	64.4                   	-59.9                  	12 	8.1                     	249             	-103.786188	42.357489   	19418	19353         	-74.4	-59.9      	5.3       	0.105258
3595                    	64.4                   	-59.9                  	12 	8.0                     	250             	-103.786095	42.357515   	19423	19358         	-74.4	-59.9      	5.3       	0.105144
3596                    	64.3                   	-59.8                  	12 	7.9                     	250             	-103.786002	42.357541   	19428	19363         	-74.4	-59.8      	5.3       	0.105030
3597                    	64.3                   	-59.8                  	12 	7.7                     	250             	-103.785909	42.357567   	19434	19369         	-74.4	-59.8      	5.3       	0.104918
3598                    	64.2                   	-59.7                  	12 	7.6                     	250             	-103.785816	42.357593   	19439	19374         	-74.3	-59.7      	5.3       	0.104807
3599                    	64.1                   	-59.7                  	12 	7.5                     	251             	-103.785724	42.357620   	19444	19379         	-74.3	-59.7      	5.3       	0.104695
3600                    	64.1                   	-59.6                  	12 	7.4                     	251             	-103.785653	42.357622   	19450	19385         	-74.3	-59.6      	5.3       	0.104584
3601                    	64.0                   	-59.6                  	12 	7.2                     	251             	-103.785588	42.357619   	19455	19390         	-74.2	-59.6      	5.3       	0.104473
3602                    	64.0                   	-59.5                  	12 	7.1                     	252             	-103.785522	42.357616   	19460	19395         	-74.2	-59.5      	5.3       	0.104362
3603                    	63.9                   	-59.5                  	12 	7.0                     	252             	-103.785456	42.357613   	19466	19400         	-74.1	-59.5      	5.3       	0.104251
3604                    	63.9                   	-59.4                  	12 	6.8                     	252             	-103.785391	42.357610   	19471	19406         	-74.1	-59.4      	5.3       	0.104141
3605                    	63.8                   	-59.4                  	12 	6.7                     	253             	-103.785325	42.357607   	19476	19411         	-74.1	-59.4      	5.3       	0.104030
3606                    	63.8                   	-59.3                  	12 	6.6                     	253             	-103.785260	42.357605   	19482	19416         	-74.0	-59.3      	5.3       	0.103920
3607                    	63.7                   	-59.3                  	12 	6.5                     	253             	-103.785194	42.357602   	19487	19422         	-74.0	-59.3      	5.3       	0.103810
3608                    	63.7                   	-59.3                  	12 	6.3                     	254             	-103.785128	42.357599   	19492	19427         	-73.9	-59.3      	5.3       	0.103700
3609                    	63.6                   	-59.2                  	12 	6.2                     	254             	-103.785063	42.357596   	19498	19432         	-73.9	-59.2      	5.3       	0.103590
3610                    	63.6                   	-59.2                  	12 	6.1                     	255             	-103.784997	42.357593   	19503	19438         	-73.8	-59.2      	5.3       	0.103478
3611                    	63.5                   	-59.1                  	12 	6.0                     	256             	-103.784931	42.357590   	19508	19443         	-73.8	-59.1      	5.3       	0.103365
3612                    	63.4                   	-59.1                  	12 	6.0                     	257             	-103.784866	42.357588   	19514	19448         	-73.7	-59.1      	5.3       	0.103252
3613                    	63.4                   	-59.0                  	12 	6.0                     	258             	-103.784800	42.357585   	19519	19453         	-73.7	-59.0      	5.3       	0.103140
3614                    	63.3                   	-58.9                  	12 	6.0                     	260             	-103.784734	42.357582   	19524	19459         	-73.7	-58.9      	5.3       	0.103028
3615                    	63.3                   	-58.9                  	12 	6.0                     	261             	-103.784669	42.357579   	19530	19464         	-73.6	-58.9      	5.3       	0.102916
3616                    	63.2                   	-58.8                  	12 	5.9                     	262             	-103.784603	42.357576   	19535	19469         	-73.6	-58.8      	5.3       	0.102804
3617                    	63.2                   	-58.8                  	12 	5.9                     	264             	-103.784537	42.357573   	19540	19475         	-73.6	-58.8      	5.3       	0.102693
3618                    	63.1                   	-58.7                  	12 	5.9                     	265             	-103.784472	42.357571   	19545	19480         	-73.5	-58.7      	5.3       	0.102581
3619                    	63.1                   	-58.7                  	12 	5.9                     	266             	-103.784406	42.357568   	19551	19485         	-73.5	-58.7      	5.3       	0.102470
